platform,title,url,difficulty,solved_count,topic,domain
Codeforces,Longest Good Subsequence,https://codeforces.com/problemset/problem/2124/H,x47,,dp,
Codeforces,Appending Permutations (Hard Version),https://codeforces.com/problemset/problem/2124/F2,x226,,dp,
Codeforces,Appending Permutations (Easy Version),https://codeforces.com/problemset/problem/2124/F1,x826,,dp,
Codeforces,Ice Baby,https://codeforces.com/problemset/problem/2121/H,x1217,2300,dp,
Codeforces,Sponsor of Your Problems,https://codeforces.com/problemset/problem/2121/E,x9573,1500,dp,
Codeforces,Lanes of Cars,https://codeforces.com/problemset/problem/2120/E,x1162,2300,dp,
Codeforces,Volcanic Eruptions,https://codeforces.com/problemset/problem/2119/F,x43,,dp,
Codeforces,And Constraint,https://codeforces.com/problemset/problem/2119/E,x238,,dp,
Codeforces,Token Removing,https://codeforces.com/problemset/problem/2119/D,x1863,,dp,
Codeforces,"Red Light, Green Light (Hard version)",https://codeforces.com/problemset/problem/2118/D2,x1643,2200,dp,
Codeforces,"Red Light, Green Light (Easy version)",https://codeforces.com/problemset/problem/2118/D1,x5131,1700,dp,
Codeforces,Gellyfish and Mayflower,https://codeforces.com/problemset/problem/2115/E,x127,3500,dp,
Codeforces,Gellyfish and Forget-Me-Not,https://codeforces.com/problemset/problem/2115/D,x500,2900,dp,
Codeforces,Gellyfish and Eternal Violet,https://codeforces.com/problemset/problem/2115/C,x569,2700,dp,
Codeforces,Gellyfish and Camellia Japonica,https://codeforces.com/problemset/problem/2115/B,x2762,2100,dp,
Codeforces,Gellyfish and Flaming Peony,https://codeforces.com/problemset/problem/2115/A,x10716,1500,dp,
Codeforces,Build an Array,https://codeforces.com/problemset/problem/2114/G,x1441,2200,dp,
Codeforces,Small Operations,https://codeforces.com/problemset/problem/2114/F,x3969,2000,dp,
Codeforces,Kirei Attacks the Estate,https://codeforces.com/problemset/problem/2114/E,x10346,1400,dp,
Codeforces,Need More Arrays,https://codeforces.com/problemset/problem/2114/C,x24923,1000,dp,
Codeforces,Tree Colorings,https://codeforces.com/problemset/problem/2112/E,x2134,2200,dp,
Codeforces,Fibonacci Cubes,https://codeforces.com/problemset/problem/2111/B,x14598,1100,dp,
Codeforces,Fewer Batteries,https://codeforces.com/problemset/problem/2110/D,x6335,1700,dp,
Codeforces,Binary String Wowee,https://codeforces.com/problemset/problem/2109/E,x1048,2400,dp,
Codeforces,Neo's Escape,https://codeforces.com/problemset/problem/2108/C,x11381,1500,dp,
HackerRank,Solve Me FirstEasyProblem Solving (Basic)Max Score: 1Success Rate: 97.62%Solve Challenge,https://www.hackerrank.com/challenges/solve-me-first?isFullScreen=true,Easy,,algorithms,algorithms
HackerRank,Simple Array SumEasyProblem Solving (Basic)Max Score: 10Success Rate: 94.73%Solve Challenge,https://www.hackerrank.com/challenges/simple-array-sum?isFullScreen=true,Easy,,algorithms,algorithms
HackerRank,Compare the TripletsEasyProblem Solving (Basic)Max Score: 10Success Rate: 96.01%Solve Challenge,https://www.hackerrank.com/challenges/compare-the-triplets?isFullScreen=true,Easy,,algorithms,algorithms
